#Table1
objid,ra,dec,magnitude,redshift
1237667323261223099,195.833180519848,27.1361163361573,19.49326,0.2355732
1237665428626932071,195.59333409919,29.5536346708099,22.64362,0.4174755
1237667322723434672,193.446914016985,26.9988822462429,18.48434,0.1401414
1237665441516028119,195.571099527767,29.2790240618085,17.77007,0.08695111
1237665440979222881,195.573294253408,28.9210872686168,22.01112,0.6241792
1237667447807804406,195.589551769667,24.8609186177536,22.67274,0.5210271
1237667447806230656,191.584105185071,25.1488227372816,17.86713,0.08416054
1237667444048986311,195.857495319481,27.9047166524667,21.37751,0.5101604
1237667442438439114,195.871172869017,26.5504987046364,14.67297,0.02210015
1237665440979288702,195.882761645168,28.9174220544064,22.38216,0.5148543
1237667321650675731,195.889620297824,26.0039134375376,18.38033,0.1283623
1237665441516158995,195.905367119922,29.2997814339764,18.11933,0.0892476
1237667442437259402,192.888636296963,26.7698123801462,15.759,0.04564369
1237665440442810458,196.761695383061,28.3299516106437,18.28661,0.1764405
1237665440442810519,196.792878792802,28.3751350216691,19.72352,0.2756983
1237667324335292539,196.80501519511,28.0469469703692,15.40149,0.02435262
1237665440442548731,196.026570143649,28.3388921241445,22.89048,0.5997971
1237667323798159456,196.046866941757,27.4904441609391,15.61354,0.01777024
1237667448881676385,196.064346179827,25.7308042448567,18.67352,0.1763008
1237667323261289281,196.069733963638,27.2064350295877,22.64004,0.6987099
1237667442973474977,191.141907297867,27.2580789684907,16.87727,0.06724685
1237667444047216723,191.14240891552,28.0674788568091,17.58024,0.1967477
1237667443511197893,193.319117920244,27.4992121454107,19.58893,0.2958836
1237667441901634083,195.934498270307,26.0767311711281,21.20756,0.4221903
1237667912206516845,191.697911619973,25.3532242163672,21.75254,0.4523003
1237667321649037705,191.704635788652,26.283150003508,22.43511,0.5613872
1237667441899995604,191.725302697718,26.4463033540957,22.27222,0.6647951
1237667911669908269,192.423642173507,24.980770857927,21.92693,0.5425667
1237667442437128294,192.457827716373,26.8658954138812,18.11113,0.08671069
1237667446733603038,194.445026483781,24.2750207022476,17.70772,0.07452881
1237667323797570005,194.490246281441,27.7417041792751,20.23886,0.3234032
1237667448344215661,194.496135623473,25.4981998141186,17.9157,0.0780905
1237667447806296206,191.838011878766,25.0938929166523,17.81308,0.0826643
1237667324333392034,191.874302094708,28.2551893540113,18.4807,0.1669197
1237667448344019097,193.92067336891,25.5682404296787,22.31509,0.5530235
1237667447807672418,195.243215168781,25.0394170079448,18.7176,0.2242526
1237667444584546720,192.3401329103,28.3622225746506,22.66431,0.5366334
1237667444584546386,192.360038340448,28.5141316108287,19.69322,0.2388443
1237667444584546384,192.36128368876,28.5142019233533,18.55123,0.2403454
1237665441515765860,194.833962128665,29.4153482840701,18.85642,0.2270036
1237665440442089553,194.846473958468,28.4885986089472,16.26273,0.0233463
1237665440978895427,194.848884191903,28.8435409843773,20.68378,0.4171198
1237667322187153466,194.877132240978,26.4352899290676,18.35524,0.02100701
