#Table1
ra,dec,l,b,u,g,r,i,z,redshift
146.007800533516,-0.642274468361087,236.734223514234,37.121240296731,16.65063,15.84151,15.95444,16.67046,16.59802,0.0047763
146.045410697084,0.17976937273214,235.91656728924,37.6261734036408,18.33607,17.2247,16.69317,16.49892,16.27584,0.01112419
182.009388370679,65.1872101113362,130.194305379443,51.3248532294297,17.21762,15.41526,14.61989,14.04827,13.67994,0.004626728
183.999405350586,66.2308491314407,128.533963411018,50.5103131038581,14.48426,12.66632,11.9385,11.53573,11.31391,0.004386103
118.196270197644,39.7129171042088,180.253414887392,28.1919594303265,18.70555,17.88384,17.4586,17.28537,17.18312,0.009571848
115.478266202159,38.4982514597388,180.995689523037,25.8497658561708,17.61244,16.69175,16.40508,16.24967,16.11353,0.01169928
257.543634914201,61.3505036918621,90.7057754927585,35.6351687942686,17.92522,16.46478,16.05324,15.73858,15.66368,0.01029225
141.973924932606,57.3754797168915,158.064245843849,43.3730668756365,15.32168,13.86858,13.14794,12.75453,12.45837,0.01069858
207.973251937976,64.3728548405976,112.491962634821,51.5126793775193,16.05456,15.66801,15.64135,15.86103,15.81497,0.005888203
233.366250445831,56.5597389876193,89.9522133580845,48.8858265485138,14.45856,13.08055,12.49245,12.20013,11.98045,0.002208026
171.925492118626,65.7396693317421,135.921761782163,49.2232442528705,18.70196,17.10912,16.68209,16.49483,16.35373,0.01368999
123.060235002724,50.6248835424272,168.285065060814,33.1918921631614,18.38083,17.32204,16.88215,16.64584,16.45007,0.01712332
204.088627081797,-0.460661521729531,326.128881332159,60.3722602542163,17.26709,16.1597,15.75744,15.55516,15.42059,0.0125614
134.769834276719,56.1598287525179,160.934753784554,39.845299245481,18.50681,17.02205,16.5858,16.36357,16.28221,0.01432863
141.973941362315,60.4056889045096,154.167412291731,42.359768689822,17.95765,16.89822,16.58421,16.4516,16.5037,0.004395213
189.402115316844,1.58887575682327,294.956987846399,64.2462034739047,17.94991,16.33762,15.62308,15.26343,15.02032,0.01705606
202.919284676891,1.80005550823872,325.465508121535,62.897864160746,17.85817,16.86325,16.48836,16.30732,16.15769,0.01110682
227.261537915306,1.8470971204502,1.33621668559361,48.4726552507685,19.17034,17.87944,17.1822,16.86286,16.64982,0.004035009
228.100191660337,2.08006266077215,2.41650089505032,47.9838652310461,18.11047,16.64703,15.99346,15.68022,15.45605,0.005610828
183.99058947161,3.30590042103001,281.811317006324,64.712849021826,16.22256,14.4261,13.61,13.19468,12.88732,0.01930236
200.023545872611,3.07200177829682,320.060381312306,64.9863734272825,19.05066,17.81975,17.49302,17.28511,17.19242,0.01977743
208.810243641178,1.90776685062954,336.843378170967,60.5083460172793,17.69118,16.48573,15.98422,15.72315,15.55181,0.01476158
146.043290809396,2.4103122302567,233.567283900332,38.8801301690063,16.52262,15.43124,14.93963,14.68506,14.45049,0.01994092
147.476376719353,0.616578704082111,236.511879440779,39.047561208301,17.74224,16.30357,16.3454,18.06546,17.71687,0.006366698
147.475510862989,0.61627026046243,236.51155855049,39.0466765337246,15.85991,15.83053,15.77734,16.05501,16.06842,0.006316895
213.848827432729,4.40852559667861,348.018274615036,59.7148754525623,16.09083,15.05485,14.61573,14.39729,14.19883,0.01927878
40.3960957444747,-8.17347887686197,182.049308454075,-57.7768101511597,17.24942,15.75126,15.12536,14.81054,14.57121,0.005161741
48.6705147211469,-6.77624133261534,188.64482689825,-50.3985768883444,17.60177,15.85513,15.03143,14.60066,14.31872,0.01846503
352.557341727772,-8.87671913798647,72.6902537785931,-63.5164955018096,17.61056,16.37671,15.87314,15.6259,15.39686,0.01588093
